INSEE_C;taux_vacance_25_pct;taux_vacance_long_25_pct
08211;14.72;
08218;19.5;13.42
08222;10.33;6.82
08223;;
08237;5.31;
08239;5.89;
08242;13.49;
08248;9.28;5.5
08254;8.85;
08262;9.76;
08263;4.67;
08264;13.43;7.41
08275;;
08276;15.43;12.29
08282;15.51;9.94
08284;7.94;4.31
08301;;
08302;9.47;5.33
08303;12.0;
08307;;
08311;12.35;7.53
08316;7.93;5.03
08327;5.58;2.42
08328;11.34;7.54
08330;6.21;
08331;6.19;
08336;9.45;
08341;9.55;6.1
08343;9.06;5.55
08346;4.93;3.08
08354;16.79;11.7
08355;13.4;
08357;14.39;9.68
08361;6.47;3.57
08362;10.91;6.28
08363;14.76;9.22
08365;11.89;6.68
08366;14.45;11.14
08367;11.55;6.76
08370;10.44;
08381;8.68;
08385;7.32;4.21
08388;6.04;
08397;;
08399;;
08403;4.9;2.05
08409;20.44;13.55
08419;11.62;8.94
08420;11.3;8.73
08429;5.6;
08431;;
08435;5.24;
08448;10.41;6.79
08453;;
08457;5.04;
08465;;
08469;13.89;
08480;6.71;3.25
08483;;
08486;15.5;10.34
08487;11.7;7.91
08488;9.81;7.69
08490;13.75;9.0
08491;10.35;6.64
08497;8.35;5.22
08500;;
09003;8.76;
09009;10.9;
09011;10.68;
09024;9.55;
09029;9.95;5.69
09030;8.43;6.02
09032;6.3;3.55
09042;11.18;7.24
09043;11.13;6.07
09047;12.16;8.37
09061;10.63;6.54
09062;12.5;7.91
09066;6.06;3.68
09070;7.24;
09078;;
09079;10.02;
09082;12.01;7.82
09085;14.53;9.83
09105;11.13;6.04
09106;7.61;
09107;9.45;6.22
09113;10.92;7.44
09121;3.33;
09122;10.24;5.53
09124;10.3;6.98
09125;10.18;6.79
09130;7.14;4.05
09137;;
09139;;
09157;8.53;5.49
09160;11.21;7.13
09161;10.97;6.02
09167;9.04;4.92
09175;0.0;0.0
09176;11.31;7.74
09181;12.13;7.67
09182;14.33;11.81
09185;7.93;4.67
09188;5.42;3.57
09189;9.62;
09192;6.42;
09193;;
09194;10.69;6.83
09202;9.64;
09206;7.5;5.24
09209;7.33;3.82
09210;4.44;
09213;;
09214;9.09;5.91
09217;11.89;
09218;;
09219;9.71;
09220;;
09221;11.44;
09223;7.99;4.36
09224;10.38;6.57
09225;11.66;6.41
09226;;
09232;7.95;
09235;11.42;7.0
09239;5.68;
09240;8.76;
09243;;
09244;8.29;4.86
09245;4.6;
09246;8.49;4.38
09252;;
09257;7.98;5.54
09258;6.45;
09261;14.74;8.78
09262;;
09264;7.4;4.61
09265;4.11;2.02
09268;8.19;5.33
09272;5.8;3.22
09277;11.84;6.55
09280;9.72;7.13
09282;8.38;5.36
09283;4.4;
09285;14.74;10.81
09289;6.41;3.28
09293;9.12;6.2
09295;8.26;
09298;9.03;
09299;5.02;
09305;;
09306;13.18;8.51
09310;;
09312;4.22;1.31
09322;6.3;3.91
09324;7.14;4.04
09330;;
09334;6.23;4.34
09336;6.63;4.59
09339;3.86;
10002;11.82;
10003;9.6;6.4
10006;10.98;6.71
10011;18.87;
10015;;
10018;10.3;7.94
10022;24.44;
10029;14.53;
10030;5.77;
10033;19.47;14.14
10034;14.77;9.96
10035;10.76;7.08
10037;5.58;
10040;19.2;
10045;15.15;
10047;;
10051;4.93;
10057;;
10060;7.02;5.03
10061;12.12;7.74
10063;8.37;
10064;13.81;8.53
10067;3.89;
10070;13.74;
10074;6.11;
10078;;
10080;18.23;15.1
10081;7.52;3.84
10084;6.33;3.59
10085;;
10089;7.17;
10090;12.5;
10094;16.04;
10095;11.27;
10100;6.85;4.32
10104;8.76;
10105;;
10106;;
10110;;
10111;20.37;
10114;10.34;6.61
10115;4.66;2.56
