INSEE_C;DEP;n;p25;p50;p75;n_small;p50_small
08216;08;1;470.59;470.59;470.59;0;0
08282;08;1;666.67;666.67;666.67;1;666.67
08298;08;9;942.86;1254.9;1637.5;6;1446.2
08311;08;5;529.41;618.42;857.69;3;529.41
08327;08;1;759.49;759.49;759.49;0;0
08328;08;20;554.33;697.29;835.11;6;740.74
08343;08;2;655.11;685.23;715.34;0;0
08349;08;1;1000;1000;1000;0;0
08353;08;1;1578.95;1578.95;1578.95;0;0
08362;08;58;1125.5;1394.44;1634.92;21;1351.85
08363;08;12;327.27;413.49;441.41;9;363.64
08365;08;2;721.2;809.75;898.29;1;632.65
08385;08;2;679.14;679.71;680.28;1;680.85
08391;08;1;689.66;689.66;689.66;0;0
08392;08;1;1111.11;1111.11;1111.11;0;0
08409;08;343;641.17;822.37;979.49;116;837.72
08480;08;1;980.39;980.39;980.39;1;980.39
08483;08;1;1279.76;1279.76;1279.76;0;0
08488;08;2;865.57;871.49;877.41;0;0
08490;08;10;634.92;723.1;1075.58;3;1195.65
08491;08;1;2717.39;2717.39;2717.39;1;2717.39
08497;08;1;957.14;957.14;957.14;0;0
09014;09;1;1833.33;1833.33;1833.33;0;0
09029;09;38;1037.51;1146.02;1329.65;36;1146.02
09030;09;2;811.09;850.25;889.41;0;0
09032;09;206;2137.41;2572.66;2953.03;174;2624.38
09043;09;3;734.69;816.33;1161.22;3;816.33
09047;09;2;805.88;861.76;917.64;1;750
09050;09;1;679.61;679.61;679.61;0;0
09066;09;1;1363.64;1363.64;1363.64;1;1363.64
09078;09;1;808.82;808.82;808.82;0;0
09085;09;3;647.74;883.72;933.53;2;647.74
09096;09;2;1568.75;1637.5;1706.25;0;0
09100;09;21;534.48;661.54;735.12;4;740.48
09105;09;1;750;750;750;0;0
09121;09;1;1165.82;1165.82;1165.82;0;0
09122;09;181;1214.29;1460.32;1705.88;100;1513.53
09124;09;3;705.71;716.98;844.6;1;716.98
09139;09;5;1566.96;2370;2551.02;3;2551.02
09150;09;4;1389.37;1656.87;1947.15;0;0
09160;09;21;583.33;823.53;921.57;8;926.47
09161;09;3;1300.25;1911.76;2411.76;2;2411.76
09167;09;5;1283.58;1323.94;1369.23;0;0
09176;09;2;1455.87;1536.73;1617.6;0;0
09181;09;3;398.44;437.5;690.45;1;943.4
09185;09;21;1250;1342.11;1472.97;15;1390.24
09194;09;22;1160.71;1214.29;1475;9;1486.49
09206;09;56;1534.12;1793.51;2073.9;53;1785.71
09207;09;1;1161.29;1161.29;1161.29;0;0
09221;09;1;500;500;500;0;0
09225;09;215;1033.7;1400;1690.48;106;1582.46
09244;09;3;924.53;943.4;1055.66;3;943.4
09252;09;2;496.03;515.87;535.71;1;555.56
09254;09;2;1456.64;1503.02;1549.4;0;0
09258;09;1;1219.51;1219.51;1219.51;0;0
09261;09;106;911.57;1135.94;1373.36;63;1229.17
09265;09;19;1565.88;1800;1870.57;15;1850
09280;09;1;350.88;350.88;350.88;0;0
