insee,dept,lon,lat,name
02073,02,3.89470,49.40760,Berry-au-Bac
02074,02,3.39880,49.62830,Bertaucourt-Epourdon
02075,02,3.37300,49.77870,Berthenicourt
02076,02,4.01160,49.39750,Bertricourt
02078,02,3.16570,49.53480,Besmé
02079,02,4.11600,49.82090,Besmont
02080,02,3.57780,49.59140,Besny-et-Loizy
02081,02,3.13760,49.62740,Béthancourt-en-Vaux
02082,02,3.41870,49.22430,Beugneux
02083,02,3.48840,49.12780,Beuvardes
02084,02,3.22830,49.01010,Bézu-le-Guéry
02085,02,3.40820,49.10450,Bézu-Saint-Germain
02086,02,3.21350,49.57870,Bichancourt
02087,02,3.26870,49.44690,Bieuxy
02088,02,3.71410,49.49230,Bièvres
02089,02,3.37530,49.35550,Billy-sur-Aisne
02090,02,3.30100,49.22330,Billy-sur-Ourcq
02091,02,3.67020,49.33780,Blanzy-lès-Fismes
02093,02,3.14900,49.51000,Blérancourt
02094,02,3.46280,49.02580,Blesmes
02095,02,3.46400,49.98870,Bohain-en-Vermandois
02096,02,3.65670,49.73830,Bois-lès-Pargny
02097,02,3.95530,49.62870,Boncourt
02098,02,3.34760,49.00770,Bonneil
02099,02,3.32730,49.12350,Bonnesvalyn
02100,02,3.21800,49.98960,Bony
02101,02,3.86640,49.73810,Bosmont-sur-Serre
02102,02,3.76090,49.46060,Bouconville-Vauclair
02103,02,3.71260,50.01010,Boué
02104,02,3.84700,49.37760,Bouffignereux
02105,02,3.31910,49.06650,Bouresches
02106,02,3.65650,49.40380,Bourg-et-Comin
02107,02,3.15790,49.54170,Bourguignon-sous-Coucy
02108,02,3.53890,49.52800,Bourguignon-sous-Montbavin
02109,02,3.96020,49.87380,La Bouteille
02110,02,3.53570,49.34880,Braine
02111,02,3.41280,49.51700,Brancourt-en-Laonnois
02112,02,3.39560,49.97980,Brancourt-le-Grand
02114,02,3.41950,49.05790,Brasles
02115,02,3.60960,49.43700,Braye-en-Laonnois
02116,02,3.96230,49.76650,Braye-en-Thiérache
02117,02,3.14200,49.77380,Bray-Saint-Christophe
02118,02,3.37690,49.42220,Braye
02119,02,3.42630,49.14020,Brécy
02120,02,3.54590,49.36940,Brenelle
02121,02,3.35130,49.18260,Breny
02122,02,3.47220,49.59920,Brie
02123,02,3.40420,49.72240,Brissay-Choigny
02124,02,3.40110,49.74580,Brissy-Hamégicourt
02125,02,3.15280,49.11240,Brumetz
02126,02,4.18800,49.76860,Brunehamel
02127,02,3.44500,49.19940,Bruyères-sur-Fère
02128,02,3.66980,49.51840,Bruyères-et-Montbérault
02129,02,3.56690,49.25950,Bruys
02130,02,4.09380,49.86360,Bucilly
02131,02,3.39230,49.39000,Bucy-le-Long
02132,02,3.49300,49.57990,Bucy-lès-Cerny
02133,02,3.90400,49.64940,Bucy-lès-Pierrepont
02134,02,4.05610,49.90800,Buire
02135,02,3.83710,49.95800,Buironfosse
02136,02,3.91480,49.77020,Burelles
02137,02,3.25010,49.07490,Bussiares
02138,02,3.34870,49.30860,Buzancy
02139,02,3.12260,49.61740,Caillouël-Crépigny
02140,02,3.12430,49.52440,Camelin
02141,02,3.91460,49.97050,La Capelle
02142,02,3.25760,49.80300,Castres
02143,02,3.24250,50.00080,Le Catelet
02144,02,3.10780,49.86460,Caulaincourt
02145,02,3.17300,49.63740,Caumont
02146,02,3.57030,49.01580,Celles-lès-Condé
02148,02,3.47010,49.41350,Celles-sur-Aisne
02149,02,3.33460,49.76670,Cerizy
02150,02,3.68030,49.44920,Cerny-en-Laonnois
02151,02,3.54660,49.57910,Cerny-lès-Bucy
02152,02,3.51750,49.32590,Cerseuil
02153,02,3.48170,49.55750,Cessières-Suzy
02154,02,3.39640,49.30080,Chacrise
02155,02,3.52330,49.50870,Chaillevois
02156,02,3.64740,49.66910,Chalandry
02157,02,3.67190,49.59850,Chambry
02158,02,3.67100,49.47230,Chamouille
02159,02,3.25700,49.53800,Champs
02160,02,3.98370,49.70300,Chaourse
02162,02,3.37500,48.94950,La Chapelle-sur-Chézy
02163,02,3.29360,48.98210,Charly-sur-Marne
02164,02,3.54460,49.11060,Le Charmel
02165,02,3.38340,49.65240,Charmes
02166,02,3.50400,49.08940,Chartèves
02167,02,3.50460,49.37780,Chassemy
02168,02,3.37840,49.05560,Château-Thierry
02169,02,3.69860,49.76290,Châtillon-lès-Sons
02170,02,3.41730,49.79510,Châtillon-sur-Oise
02171,02,3.78800,49.39680,Chaudardes
02172,02,3.25080,49.31410,Chaudun
02173,02,3.21920,49.61850,Chauny
02174,02,3.51550,49.47820,Chavignon
02175,02,3.30900,49.42290,Chavigny
02176,02,3.56140,49.40810,Chavonne
02177,02,3.68780,49.51470,Chérêt
02178,02,3.71960,49.46400,Chermizy-Ailles
02179,02,3.60810,49.25290,Chéry-Chartreuve
02180,02,3.58860,49.64790,Chéry-lès-Pouilly
02181,02,4.10260,49.72450,Chéry-lès-Rozoy
02182,02,3.73860,49.81960,Chevennes
02183,02,3.59500,49.47000,Chevregny
02184,02,3.58430,49.76570,Chevresis-Monceau
02185,02,3.15650,49.12470,Chézy-en-Orxois
02186,02,3.38820,48.98570,Chézy-sur-Marne
02187,02,3.43210,49.03260,Chierry
02188,02,3.77280,49.92910,Chigny
02189,02,3.85760,49.62560,Chivres-en-Laonnois
02190,02,3.43710,49.40480,Chivres-Val
02191,02,3.58380,49.53340,Chivy-lès-Étouvelles
